[rosmaster.main][INFO] 2017-01-25 11:35:58,925: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-01-25 11:35:58,925: Starting ROS Master Node
[xmlrpc][INFO] 2017-01-25 11:35:58,928: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-01-25 11:35:58,930: Started XML-RPC server [http://LYC-UP:11311/]
[rosmaster.master][INFO] 2017-01-25 11:35:58,930: Master initialized: port[11311], uri[http://LYC-UP:11311/]
[xmlrpc][INFO] 2017-01-25 11:35:58,931: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-01-25 11:35:58,976: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:58,983: +PARAM [/roslaunch/uris/host_lyc_up__33636] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,144: +PARAM [/camera/driver/color_fps] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,145: +PARAM [/camera/driver/ir_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,146: +PARAM [/camera/driver/color_width] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,146: +PARAM [/camera/driver/ir2_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,147: +PARAM [/camera/driver/fisheye_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,147: +PARAM [/camera/driver/enable_depth] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,147: +PARAM [/camera/driver/enable_ir2] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,148: +PARAM [/camera/driver/mode] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,148: +PARAM [/camera/driver/fisheye_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,148: +PARAM [/camera/driver/depth_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,149: +PARAM [/camera/driver/color_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,149: +PARAM [/camera/driver/depth_height] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,149: +PARAM [/camera/driver/ir2_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,150: +PARAM [/camera/driver/imu_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,150: +PARAM [/camera/driver/color_height] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,150: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,151: +PARAM [/camera/driver/camera_type] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,151: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,151: +PARAM [/camera/driver/depth_fps] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,152: +PARAM [/camera/driver/color_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,152: +PARAM [/camera/driver/enable_color] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,152: +PARAM [/camera/driver/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,153: +PARAM [/camera/driver/imu_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,153: +PARAM [/camera/driver/enable_pointcloud] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,154: +PARAM [/camera/driver/enable_ir] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,154: +PARAM [/camera/driver/enable_tf] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,154: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,155: +PARAM [/camera/driver/usb_port_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,155: +PARAM [/camera/driver/depth_width] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,155: +PARAM [/camera/driver/serial_no] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,156: +PARAM [/camera/driver/ir_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:35:59,235: +SERVICE [/rosout/get_loggers] /rosout http://LYC-UP:33174/
[rosmaster.master][INFO] 2017-01-25 11:35:59,238: +SERVICE [/rosout/set_logger_level] /rosout http://LYC-UP:33174/
[rosmaster.master][INFO] 2017-01-25 11:35:59,245: +PUB [/rosout_agg] /rosout http://LYC-UP:33174/
[rosmaster.master][INFO] 2017-01-25 11:35:59,269: +SUB [/rosout] /rosout http://LYC-UP:33174/
[rosmaster.master][INFO] 2017-01-25 11:35:59,291: +PUB [/rosout] /camera/driver http://LYC-UP:43790/
[rosmaster.master][INFO] 2017-01-25 11:35:59,294: +SERVICE [/camera/driver/get_loggers] /camera/driver http://LYC-UP:43790/
[rosmaster.master][INFO] 2017-01-25 11:35:59,298: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://LYC-UP:43790/
[rosmaster.master][INFO] 2017-01-25 11:35:59,319: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2017-01-25 11:35:59,328: publisherUpdate[/rosout] -> http://LYC-UP:33174/
[rosmaster.master][INFO] 2017-01-25 11:35:59,357: +PUB [/rosout] /camera/nodelet_manager http://LYC-UP:33802/
[rosmaster.master][INFO] 2017-01-25 11:35:59,361: +SERVICE [/camera/nodelet_manager/get_loggers] /camera/nodelet_manager http://LYC-UP:33802/
[rosmaster.master][INFO] 2017-01-25 11:35:59,364: +SERVICE [/camera/nodelet_manager/set_logger_level] /camera/nodelet_manager http://LYC-UP:33802/
[rosmaster.master][INFO] 2017-01-25 11:35:59,378: +SERVICE [/camera/nodelet_manager/load_nodelet] /camera/nodelet_manager http://LYC-UP:33802/
[rosmaster.master][INFO] 2017-01-25 11:35:59,387: +SERVICE [/camera/nodelet_manager/unload_nodelet] /camera/nodelet_manager http://LYC-UP:33802/
[rosmaster.master][INFO] 2017-01-25 11:35:59,389: +SERVICE [/camera/nodelet_manager/list] /camera/nodelet_manager http://LYC-UP:33802/
[rosmaster.master][INFO] 2017-01-25 11:35:59,435: publisherUpdate[/rosout] -> http://LYC-UP:33174/
[rosmaster.master][INFO] 2017-01-25 11:35:59,689: +PUB [/tf_static] /camera/nodelet_manager http://LYC-UP:33802/
[rosmaster.master][INFO] 2017-01-25 11:36:00,043: -PUB [/rosout] /camera/nodelet_manager http://LYC-UP:33802/
[rosmaster.master][INFO] 2017-01-25 11:36:00,046: -PUB [/tf_static] /camera/nodelet_manager http://LYC-UP:33802/
[rosmaster.master][INFO] 2017-01-25 11:36:00,047: publisherUpdate[/rosout] -> http://LYC-UP:33174/
