[rosmaster.main][INFO] 2017-01-25 11:36:23,638: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-01-25 11:36:23,638: Starting ROS Master Node
[xmlrpc][INFO] 2017-01-25 11:36:23,641: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-01-25 11:36:23,643: Started XML-RPC server [http://LYC-UP:11311/]
[xmlrpc][INFO] 2017-01-25 11:36:23,644: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-01-25 11:36:23,644: Master initialized: port[11311], uri[http://LYC-UP:11311/]
[rosmaster.master][INFO] 2017-01-25 11:36:23,665: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,670: +PARAM [/roslaunch/uris/host_lyc_up__38059] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,812: +PARAM [/camera/driver/color_fps] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,813: +PARAM [/camera/driver/ir_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,816: +PARAM [/camera/driver/color_width] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,817: +PARAM [/camera/driver/ir2_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,818: +PARAM [/camera/driver/fisheye_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,819: +PARAM [/camera/driver/enable_depth] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,821: +PARAM [/camera/driver/enable_ir2] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,823: +SERVICE [/rosout/get_loggers] /rosout http://LYC-UP:33424/
[rosmaster.master][INFO] 2017-01-25 11:36:23,823: +PARAM [/camera/driver/mode] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,824: +PARAM [/camera/driver/fisheye_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,825: +PARAM [/camera/driver/depth_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,825: +PARAM [/camera/driver/color_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,826: +PARAM [/camera/driver/depth_height] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,826: +PARAM [/camera/driver/ir2_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,826: +PARAM [/camera/driver/imu_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,827: +PARAM [/camera/driver/color_height] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,827: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,827: +PARAM [/camera/driver/camera_type] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,828: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,828: +PARAM [/camera/driver/depth_fps] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,828: +PARAM [/camera/driver/color_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,829: +PARAM [/camera/driver/enable_color] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,829: +PARAM [/camera/driver/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,830: +PARAM [/camera/driver/imu_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,830: +PARAM [/camera/driver/enable_pointcloud] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,830: +PARAM [/camera/driver/enable_ir] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,831: +PARAM [/camera/driver/enable_tf] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,831: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,833: +SERVICE [/rosout/set_logger_level] /rosout http://LYC-UP:33424/
[rosmaster.master][INFO] 2017-01-25 11:36:23,834: +PARAM [/camera/driver/usb_port_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,835: +PARAM [/camera/driver/depth_width] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,838: +PARAM [/camera/driver/serial_no] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,839: +PARAM [/camera/driver/ir_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 11:36:23,843: +PUB [/rosout_agg] /rosout http://LYC-UP:33424/
[rosmaster.master][INFO] 2017-01-25 11:36:23,869: +SUB [/rosout] /rosout http://LYC-UP:33424/
[rosmaster.master][INFO] 2017-01-25 11:36:24,029: +PUB [/rosout] /camera/driver http://LYC-UP:34921/
[rosmaster.master][INFO] 2017-01-25 11:36:24,035: +SERVICE [/camera/driver/get_loggers] /camera/driver http://LYC-UP:34921/
[rosmaster.master][INFO] 2017-01-25 11:36:24,040: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://LYC-UP:34921/
[rosmaster.master][INFO] 2017-01-25 11:36:24,043: publisherUpdate[/rosout] -> http://LYC-UP:33424/
[rosmaster.master][INFO] 2017-01-25 11:36:24,064: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2017-01-25 11:36:24,099: +PUB [/rosout] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:24,103: +SERVICE [/camera/nodelet_manager/get_loggers] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:24,106: +SERVICE [/camera/nodelet_manager/set_logger_level] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:24,127: +SERVICE [/camera/nodelet_manager/load_nodelet] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:24,130: +SERVICE [/camera/nodelet_manager/unload_nodelet] /camera/nodelet_manager http://LYC-UP:45985/
[rosmaster.master][INFO] 2017-01-25 11:36:24,133: +SERVICE [/camera/nodelet_manager/list] /camera/nodelet_manager http://LYC-UP:45985/
