[rosmaster.main][INFO] 2017-01-25 12:56:26,253: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-01-25 12:56:26,253: Starting ROS Master Node
[xmlrpc][INFO] 2017-01-25 12:56:26,257: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-01-25 12:56:26,259: Started XML-RPC server [http://LYC-UP:11311/]
[rosmaster.master][INFO] 2017-01-25 12:56:26,259: Master initialized: port[11311], uri[http://LYC-UP:11311/]
[xmlrpc][INFO] 2017-01-25 12:56:26,260: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-01-25 12:56:26,304: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,308: +PARAM [/roslaunch/uris/host_lyc_up__37548] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,455: +PARAM [/camera/driver/color_fps] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,456: +PARAM [/camera/driver/ir_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,456: +PARAM [/camera/driver/color_width] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,457: +PARAM [/camera/driver/ir2_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,457: +PARAM [/camera/driver/fisheye_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,458: +PARAM [/camera/driver/enable_depth] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,458: +PARAM [/camera/driver/enable_ir2] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,459: +PARAM [/camera/driver/mode] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,459: +PARAM [/camera/driver/fisheye_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,459: +PARAM [/camera/driver/depth_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,460: +PARAM [/camera/driver/color_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,460: +PARAM [/camera/driver/depth_height] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,461: +PARAM [/camera/driver/ir2_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,461: +PARAM [/camera/driver/imu_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,461: +PARAM [/camera/driver/color_height] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,462: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,462: +PARAM [/camera/driver/camera_type] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,463: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,463: +PARAM [/camera/driver/depth_fps] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,463: +PARAM [/camera/driver/color_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,464: +PARAM [/camera/driver/enable_color] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,464: +PARAM [/camera/driver/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,464: +PARAM [/camera/driver/imu_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,465: +PARAM [/camera/driver/enable_pointcloud] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,465: +PARAM [/camera/driver/enable_ir] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,466: +PARAM [/camera/driver/enable_tf] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:56:26,466: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
