[rosmaster.main][INFO] 2016-12-20 19:16:22,062: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-12-20 19:16:22,063: Starting ROS Master Node
[xmlrpc][INFO] 2016-12-20 19:16:22,067: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-12-20 19:16:22,068: Started XML-RPC server [http://LYC-UP:11311/]
[rosmaster.master][INFO] 2016-12-20 19:16:22,069: Master initialized: port[11311], uri[http://LYC-UP:11311/]
[xmlrpc][INFO] 2016-12-20 19:16:22,069: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-12-20 19:16:22,109: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,114: +PARAM [/roslaunch/uris/host_lyc_up__33048] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,257: +PARAM [/camera/driver/usb_port_id] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,258: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,258: +PARAM [/camera/driver/ir2_frame_id] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,259: +PARAM [/camera/driver/camera_type] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,259: +PARAM [/camera/driver/fisheye_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,260: +PARAM [/camera/driver/depth_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,260: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,260: +PARAM [/camera/driver/color_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,261: +PARAM [/camera/driver/ir_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,261: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,262: +PARAM [/camera/driver/color_frame_id] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,262: +PARAM [/camera/driver/fisheye_frame_id] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,262: +PARAM [/camera/driver/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,263: +PARAM [/camera/driver/imu_frame_id] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,263: +PARAM [/camera/driver/ir2_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,263: +PARAM [/camera/driver/serial_no] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,264: +PARAM [/camera/driver/ir_frame_id] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,264: +PARAM [/camera/driver/imu_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:22,374: +SERVICE [/rosout/get_loggers] /rosout http://LYC-UP:42501/
[rosmaster.master][INFO] 2016-12-20 19:16:22,377: +SERVICE [/rosout/set_logger_level] /rosout http://LYC-UP:42501/
