[rosmaster.main][INFO] 2016-12-20 19:16:48,699: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-12-20 19:16:48,700: Starting ROS Master Node
[xmlrpc][INFO] 2016-12-20 19:16:48,704: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-12-20 19:16:48,706: Started XML-RPC server [http://LYC-UP:11311/]
[rosmaster.master][INFO] 2016-12-20 19:16:48,707: Master initialized: port[11311], uri[http://LYC-UP:11311/]
[xmlrpc][INFO] 2016-12-20 19:16:48,707: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-12-20 19:16:48,744: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:48,750: +PARAM [/roslaunch/uris/host_lyc_up__34512] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:48,875: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:48,876: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-12-20 19:16:48,891: +SERVICE [/rosout/get_loggers] /rosout http://LYC-UP:46103/
[rosmaster.master][INFO] 2016-12-20 19:16:48,894: +SERVICE [/rosout/set_logger_level] /rosout http://LYC-UP:46103/
[rosmaster.master][INFO] 2016-12-20 19:16:48,900: +PUB [/rosout_agg] /rosout http://LYC-UP:46103/
[rosmaster.master][INFO] 2016-12-20 19:16:48,914: +SUB [/rosout] /rosout http://LYC-UP:46103/
[rosmaster.master][INFO] 2016-12-20 19:16:53,398: -PUB [/rosout_agg] /rosout http://LYC-UP:46103/
[rosmaster.master][INFO] 2016-12-20 19:16:53,402: -SUB [/rosout] /rosout http://LYC-UP:46103/
[rosmaster.master][INFO] 2016-12-20 19:16:53,405: -SERVICE [/rosout/get_loggers] /rosout rosrpc://LYC-UP:57007
[rosmaster.master][INFO] 2016-12-20 19:16:53,408: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://LYC-UP:57007
[rosmaster.main][INFO] 2016-12-20 19:16:53,602: keyboard interrupt, will exit
[rosmaster.main][INFO] 2016-12-20 19:16:53,602: stopping master...
[rospy.core][INFO] 2016-12-20 19:16:53,603: signal_shutdown [atexit]
