[rosmaster.main][INFO] 2017-01-25 12:58:27,989: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-01-25 12:58:27,990: Starting ROS Master Node
[xmlrpc][INFO] 2017-01-25 12:58:27,992: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-01-25 12:58:27,993: Started XML-RPC server [http://LYC-UP:11311/]
[rosmaster.master][INFO] 2017-01-25 12:58:27,994: Master initialized: port[11311], uri[http://LYC-UP:11311/]
[xmlrpc][INFO] 2017-01-25 12:58:27,994: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-01-25 12:58:28,046: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,054: +PARAM [/roslaunch/uris/host_lyc_up__46448] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,198: +PARAM [/camera/driver/color_fps] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,200: +PARAM [/camera/driver/ir_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,202: +PARAM [/camera/driver/color_width] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,205: +PARAM [/camera/driver/ir2_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,207: +PARAM [/camera/driver/fisheye_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,209: +SERVICE [/rosout/get_loggers] /rosout http://LYC-UP:46624/
[rosmaster.master][INFO] 2017-01-25 12:58:28,209: +PARAM [/camera/driver/enable_depth] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,210: +PARAM [/camera/driver/enable_ir2] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,211: +PARAM [/camera/driver/mode] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,212: +PARAM [/camera/driver/fisheye_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,213: +PARAM [/camera/driver/depth_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,214: +SERVICE [/rosout/set_logger_level] /rosout http://LYC-UP:46624/
[rosmaster.master][INFO] 2017-01-25 12:58:28,215: +PARAM [/camera/driver/color_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,216: +PARAM [/camera/driver/depth_height] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,217: +PARAM [/camera/driver/ir2_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,219: +PARAM [/camera/driver/imu_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,220: +PARAM [/camera/driver/color_height] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,222: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,223: +PUB [/rosout_agg] /rosout http://LYC-UP:46624/
[rosmaster.master][INFO] 2017-01-25 12:58:28,224: +PARAM [/camera/driver/camera_type] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:58:28,225: +PARAM [/rosversion] by /roslaunch
