[rosmaster.main][INFO] 2017-01-25 12:37:20,575: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-01-25 12:37:20,576: Starting ROS Master Node
[xmlrpc][INFO] 2017-01-25 12:37:20,579: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-01-25 12:37:20,580: Started XML-RPC server [http://LYC-UP:11311/]
[rosmaster.master][INFO] 2017-01-25 12:37:20,580: Master initialized: port[11311], uri[http://LYC-UP:11311/]
[xmlrpc][INFO] 2017-01-25 12:37:20,581: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-01-25 12:37:20,628: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:37:20,634: +PARAM [/roslaunch/uris/host_lyc_up__33140] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:37:20,783: +PARAM [/camera/driver/color_fps] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:37:20,783: +PARAM [/camera/driver/ir_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:37:20,784: +PARAM [/camera/driver/color_width] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:37:20,784: +PARAM [/camera/driver/ir2_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:37:20,785: +PARAM [/camera/driver/fisheye_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:37:20,785: +PARAM [/camera/driver/enable_depth] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:37:20,785: +PARAM [/camera/driver/enable_ir2] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:37:20,786: +PARAM [/camera/driver/mode] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:37:20,786: +PARAM [/camera/driver/fisheye_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:37:20,787: +PARAM [/camera/driver/depth_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:37:20,787: +PARAM [/camera/driver/color_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:37:20,788: +PARAM [/camera/driver/depth_height] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:37:20,788: +PARAM [/camera/driver/ir2_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:37:20,788: +PARAM [/camera/driver/imu_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2017-01-25 12:37:20,789: +PARAM [/camera/driver/color_height] by /roslaunch
